,crime,year,long,lat,city,neighborhood
368,BURGLARY,2016,-78.8489094253236,42.9242800818038,Buffalo,.
374,BURGLARY,2016,-78.8565852762363,42.8954238883944,Buffalo,.
375,LARCENY/THEFT,2016,-78.9033377704406,42.9587135021793,Buffalo,.
376,ROBBERY,2016,-78.8873138094028,42.89844700827809,Buffalo,.
377,ROBBERY,2016,-78.8481216932809,42.9147057975328,Buffalo,.
378,LARCENY/THEFT,2016,-78.8902510252576,42.9187712873251,Buffalo,.
382,ASSAULT,2016,-78.8930942287428,42.8975809113556,Buffalo,.
383,LARCENY/THEFT,2016,-78.8347865043612,42.89434884959621,Buffalo,.
387,ROBBERY,2016,-78.8133231865345,42.943152577923705,Buffalo,.
388,LARCENY/THEFT,2016,-78.892808174024,42.915005299524005,Buffalo,.
392,ASSAULT,2016,-78.89471414242601,42.9598897025864,Buffalo,.
394,LARCENY/THEFT,2016,-78.8880732724629,42.9238258244444,Buffalo,.
395,ROBBERY,2016,-78.8325762724623,42.8551708977689,Buffalo,.
396,LARCENY/THEFT,2016,-78.87740632490359,42.9183385450609,Buffalo,.
398,LARCENY/THEFT,2016,-78.8707283046725,42.879145454534296,Buffalo,.
400,ASSAULT,2016,-78.84712161911649,42.89904056946921,Buffalo,.
401,ASSAULT,2016,-78.897500606433,42.95686385248121,Buffalo,.
403,ASSAULT,2016,-78.8319440105925,42.8463094622821,Buffalo,.
404,LARCENY/THEFT,2016,-78.87680010393359,42.93219663160021,Buffalo,.
407,LARCENY/THEFT,2016,-78.8868109451132,42.9404844323526,Buffalo,.
408,ASSAULT,2016,-78.822338832425,42.9373171236829,Buffalo,.
409,LARCENY/THEFT,2016,-78.8120720097065,42.8573265004274,Buffalo,.
412,ASSAULT,2016,-78.8675707729186,42.8821441761225,Buffalo,.
413,LARCENY/THEFT,2016,-78.8183494303844,42.8505637868659,Buffalo,.
414,LARCENY/THEFT,2016,-78.8711364011111,42.894702263072794,Buffalo,.
417,BURGLARY,2016,-78.80973408398809,42.9421445042721,Buffalo,.
418,LARCENY/THEFT,2016,-78.8157762658703,42.939992183362,Buffalo,.
421,ASSAULT,2016,-78.8312904278289,42.8693596449762,Buffalo,.
422,ASSAULT,2016,-78.8140096484526,42.8969169696486,Buffalo,.
423,SEXUAL ABUSE,2016,-78.87524489521421,42.9270695795427,Buffalo,.
425,LARCENY/THEFT,2016,-78.8259533896741,42.9067702479971,Buffalo,.
426,LARCENY/THEFT,2016,-78.8160793075525,42.911373021277704,Buffalo,.
