crime,year,long,lat,city,neighborhood
LARCENY-FROM VEHICLE,2012,-84.41449,33.76511,Atlanta,English Avenue
LARCENY-FROM VEHICLE,2012,-84.39075,33.76321,Atlanta,Downtown
LARCENY-FROM VEHICLE,2012,-84.37833,33.766659999999995,Atlanta,Old Fourth Ward
AUTO THEFT,2012,-84.40755,33.74662,Atlanta,The Villages at Castleberry H
AUTO THEFT,2012,-84.43203000000003,33.72724,Atlanta,Bush Mountain
LARCENY-NON VEHICLE,2012,-84.36211999999998,33.846759999999996,Atlanta,Lenox
BURGLARY-RESIDENCE,2012,-84.35618000000002,33.84691,Atlanta,Buckhead Heights
AUTO THEFT,2012,-84.41374,33.74217,Atlanta,Atlanta University Center
AUTO THEFT,2012,-84.37489000000002,33.73271,Atlanta,Grant Park
BURGLARY-RESIDENCE,2012,-84.40897,33.76703,Atlanta,English Avenue
BURGLARY-RESIDENCE,2012,-84.50433000000002,33.76126,Atlanta,Adamsville
LARCENY-NON VEHICLE,2012,-84.38095,33.84618,Atlanta,Buckhead Forest
AUTO THEFT,2012,-84.40446999999998,33.741,Atlanta,Mechanicsville
AUTO THEFT,2012,-84.41535,33.75092,Atlanta,Atlanta University Center
AUTO THEFT,2012,-84.38546,33.76761,Atlanta,Downtown
ROBBERY-PEDESTRIAN,2012,-84.39817,33.706379999999996,Atlanta,Betmar LaVilla
LARCENY-FROM VEHICLE,2012,-84.36581,33.75796,Atlanta,Old Fourth Ward
AUTO THEFT,2012,-84.37698,33.75078,Atlanta,Sweet Auburn
LARCENY-NON VEHICLE,2012,-84.36055999999998,33.84922,Atlanta,Lenox
BURGLARY-RESIDENCE,2012,-84.47219,33.76972,Atlanta,Center Hill
AUTO THEFT,2012,-84.4818,33.77532,Atlanta,Collier Heights
AUTO THEFT,2012,-84.35383,33.7636,Atlanta,Inman Park
AUTO THEFT,2012,-84.49311999999998,33.7738,Atlanta,Collier Heights
AUTO THEFT,2012,-84.3718,33.74518,Atlanta,Grant Park
BURGLARY-RESIDENCE,2012,-84.39106,33.66699000000001,Atlanta,Glenrose Heights
LARCENY-FROM VEHICLE,2012,-84.39178000000003,33.76324,Atlanta,Downtown
LARCENY-FROM VEHICLE,2012,-84.36379000000002,33.77442,Atlanta,Virginia Highland
